"filename", "language", "C++", "Dart", "JSON", "Properties", "YAML", "Markdown", "Shell Script", "HTML", "Swift", "XML", "Groovy", "Docker", "comment", "blank", "total"
"e:\Apps\pipe_and_filter\.github\workflows\firebase-hosting-merge.yml", "YAML", 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -2, -2, -21
"e:\Apps\pipe_and_filter\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -2, -2, -18
"e:\Apps\pipe_and_filter\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, -10, -29
"e:\Apps\pipe_and_filter\README.md", "Markdown", 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -2, -4
"e:\Apps\pipe_and_filter\analysis_options.yaml", "YAML", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"e:\Apps\pipe_and_filter\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -54, 0, -5, -13, -72
"e:\Apps\pipe_and_filter\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -4, -1, -9
"e:\Apps\pipe_and_filter\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, -6, -1, -35
"e:\Apps\pipe_and_filter\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"e:\Apps\pipe_and_filter\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"e:\Apps\pipe_and_filter\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"e:\Apps\pipe_and_filter\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
